urb,age,hhchildsuppgrant,no_schooling,secondary,female,married,groupafrican,groupcoloured,hourlyincome,agemp
1,20,0,0,1,0,0,0,1,2.4129434,0
1,36,0,0,1,1,1,0,1,3.3144994,0
1,28,0,0,1,1,1,0,1,3.3553214,0
1,22,1,0,1,1,0,0,1,3.3137298,0
0,48,0,1,0,1,0,0,1,2.6360869,0
0,31,0,0,0,0,0,0,1,1.602013,0
0,44,0,0,0,1,1,0,1,1.7197961,0
0,39,0,0,0,0,1,1,0,3.3553214,0
0,30,0,0,0,0,1,0,1,2.701395,1
0,35,0,0,0,0,0,0,1,1.602013,0
0,27,0,0,0,0,0,0,1,1.9384854,1
0,24,0,0,1,1,0,0,1,1.9735767,1
0,21,0,0,1,0,0,0,1,3.2499609,1
0,18,0,0,0,0,0,0,1,1.8331248,1
0,43,0,0,0,0,1,0,1,3.1060905,0
1,40,0,0,0,1,1,1,0,2.6701424,0
0,33,0,1,0,1,1,0,1,2.1897995,0
0,48,0,0,0,0,1,0,1,3.6497059,0
0,32,0,1,0,0,1,0,1,2.1897998,1
1,50,0,0,0,0,1,1,0,2.5183039,1
1,53,0,0,0,1,1,0,1,3.0268173,0
0,26,0,0,0,1,0,0,1,2.1897998,0
0,40,0,0,0,0,1,0,1,2.2951603,1
1,19,1,0,1,0,0,0,1,2.6360867,0
0,20,0,0,0,1,0,0,1,3.0268173,0
0,34,0,0,1,0,1,0,1,2.1385064,1
0,28,0,0,0,0,1,0,1,2.0074782,1
0,26,0,0,0,1,0,0,1,2.2848799,0
1,26,1,0,0,1,0,0,1,1.9021177,1
0,28,0,0,0,1,1,0,1,1.9384854,1
1,24,0,0,0,0,0,0,1,3.0163462,0
1,30,0,0,0,0,0,0,1,2.4129434,0
0,34,0,0,0,0,1,0,1,1.9021177,1
0,41,0,0,0,1,1,0,1,3.9045982,0
1,31,0,0,0,0,1,0,1,3.5541153,0
1,21,1,0,1,0,0,0,1,1.9021177,1
0,52,0,0,0,0,1,1,0,1.997198,1
0,53,0,0,0,0,0,0,1,2.2306218,1
0,54,0,1,0,0,0,0,1,1.8228445,1
0,22,0,0,0,0,0,1,0,1.8794148,1
1,24,0,0,1,1,0,0,1,2.2158871,0
1,30,0,0,0,1,0,0,1,2.2385898,1
1,39,0,0,1,1,0,0,1,1.8125056,1
0,34,0,0,1,0,1,0,1,2.2306218,1
0,30,0,1,0,0,1,1,0,2.0074782,1
0,26,0,0,0,1,0,0,1,1.9021177,1
1,31,0,0,1,1,0,0,1,2.8547761,0
1,40,0,0,0,0,0,0,1,1.1296973,1
1,20,0,0,0,1,0,0,1,2.8444958,0
1,24,0,0,0,1,0,0,1,2.5262718,0
0,40,0,0,0,1,1,0,1,1.8331248,1
0,32,0,0,0,1,1,0,1,2.0823557,0
1,30,0,0,1,1,1,0,1,2.2001388,0
0,20,0,0,1,1,0,0,1,1.9384854,1
1,41,0,0,0,0,1,0,1,2.0074782,1
1,32,0,0,0,1,1,0,1,2.9090343,0
1,37,1,0,0,0,1,1,0,2.9883075,0
1,31,0,0,1,0,1,0,1,3.7473633,0
0,25,0,0,0,0,0,0,1,1.8643775,1
0,54,0,0,0,0,1,0,1,2.3534293,1
0,40,0,1,0,0,1,0,1,2.5183039,1
0,30,0,0,0,0,1,0,1,2.2951603,1
1,52,0,0,1,1,1,0,1,0.25422847,0
0,26,0,0,0,1,1,0,1,1.9021175,1
0,32,0,0,0,1,1,0,1,2.2438669,0
1,23,0,0,0,0,0,0,1,2.4999547,0
0,22,0,0,0,0,0,0,1,1.9021177,1
0,34,0,0,0,1,0,0,1,2.0074782,1
0,25,0,0,0,0,0,0,1,2.5159917,0
0,23,0,0,0,0,0,0,1,3.3897228,1
1,32,0,0,0,1,0,0,1,2.4129434,0
0,23,0,0,0,0,0,0,1,2.1252613,1
1,34,0,0,0,1,1,0,1,3.4425626,0
1,64,0,0,0,0,0,0,1,2.2951601,0
0,25,0,0,0,0,0,0,1,2.7651639,0
1,51,0,0,1,1,0,0,1,3.6814547,0
1,29,0,0,1,1,0,0,1,3.0209327,0
1,24,0,0,1,0,0,0,1,2.3641531,1
1,27,1,0,1,0,1,1,0,1.8251566,0
1,29,0,0,0,1,1,0,1,3.6775408,0
1,37,0,0,0,1,1,0,1,2.2158871,0
1,58,0,0,1,0,1,0,0,3.2499609,0
1,24,0,0,0,1,0,0,1,1.9021177,1
0,21,0,0,0,1,0,0,1,3.6377263,1
0,25,0,0,0,0,1,0,1,1.9021176,1
0,62,0,0,0,0,1,0,1,2.0764709,1
1,38,0,0,0,0,1,0,1,2.6258066,0
0,23,0,0,1,1,0,0,1,2.9883075,0
0,35,0,0,0,0,1,0,1,2.1149809,1
0,27,0,0,0,0,1,1,0,1.7889429,1
0,49,0,0,0,0,1,0,1,2.3737226,1
1,34,0,1,0,1,1,0,1,1.7843345,0
0,47,0,0,0,0,1,0,1,2.1385064,1
0,52,0,0,0,0,1,0,1,0.25422847,1
1,47,0,0,0,1,0,0,1,1.9971979,0
1,40,0,0,1,1,0,0,1,1.928205,0
1,20,0,0,1,0,0,0,1,2.6213522,0
1,37,0,0,1,1,0,0,1,2.2203414,0
1,49,1,0,0,0,1,1,0,2.2951603,0
1,46,0,0,1,0,1,1,0,2.9696589,0
0,46,0,0,0,0,0,0,1,2.4537652,1
0,49,0,0,0,0,1,1,0,3.3632896,0
0,32,0,0,0,1,1,0,1,1.9240966,1
1,33,0,0,0,0,0,0,1,2.4129434,0
0,30,0,0,0,1,0,0,1,2.1897995,1
0,47,0,0,0,0,1,0,1,2.3259318,1
1,24,0,0,0,1,0,1,0,2.8444958,0
0,57,0,0,0,1,1,0,1,2.1463146,0
0,43,0,0,0,0,1,0,1,1.9021177,1
0,25,0,0,0,1,0,0,1,2.2306218,1
1,24,0,0,0,1,0,0,1,3.3067613,0
1,23,0,0,0,0,0,1,0,3.6169162,0
1,34,0,0,0,1,1,0,1,2.0764709,0
0,35,0,0,0,1,1,0,1,2.1897998,0
0,43,0,0,1,0,1,0,1,1.9872754,1
0,49,0,0,0,1,0,0,1,2.8184085,0
0,36,0,0,1,0,1,0,1,2.0466988,1
0,21,0,0,0,0,0,0,1,2.6360867,1
0,28,0,0,0,0,1,0,1,1.9384854,1
1,24,0,0,0,0,0,1,0,4.0017619,0
1,22,0,0,1,0,0,0,1,2.769618,0
0,34,0,0,0,1,0,0,1,3.3553214,0
0,22,0,0,0,1,1,0,1,2.3752029,1
1,43,0,0,0,1,1,0,1,2.5575247,0
0,31,0,0,1,0,1,0,1,1.6993634,1
1,23,0,0,0,1,0,0,1,2.6360869,0
1,45,0,1,0,0,0,0,1,3.3937726,0
0,21,0,0,0,1,1,0,1,2.4129434,0
0,49,0,0,0,0,1,0,1,2.3904705,1
0,41,0,0,0,1,1,0,1,1.7458835,0
1,19,0,0,0,1,0,1,0,2.9883075,0
1,34,0,0,0,0,0,0,1,3.6814547,0
0,47,0,1,0,0,1,0,1,2.3904705,1
0,18,0,0,0,0,0,0,1,2.1897995,1
1,39,0,0,1,1,1,0,1,2.3336701,0
