distfe,wave,length,expectedlength
15-5,64,55073.033535546856,36219.83785549153
15-6,61,31449.96615171347,47583.33009022187
15-6,64,70657.5129565732,39999.593812277446
15-7,61,8552.83496131203,17706.736318998872
15-7,64,23996.943143638608,14587.840936306318
15-7,68,5442.069148632477,5697.269998277927
15-8,61,36452.0343913291,44425.9020964698
15-8,64,59492.478625152035,37552.61379854259
16-1,61,111014.82278056287,74192.92265493624
16-1,64,2123.448811652097,28798.61138529663
16-1,68,21606.948361625855,31753.68591360797
16-2,61,35711.35335884916,82877.16229511514
16-2,64,18700.780173336712,32143.64953176119
16-2,68,96896.64004397677,36287.9617492863
16-3,61,38638.03845128372,65457.096172449004
16-3,64,49299.37914031219,26555.273514686785
16-3,68,33544.18282927672,29469.23073373683
16-4,61,26862.373933657713,104590.30366793214
16-4,64,98471.43182125739,38702.02209888587
16-4,68,62800.16325661388,44841.643244710984
17-1,61,3004.7376948755145,2093.6490446046587
17-1,68,9092.26825087326,7934.259312001138
17-2,64,2152.2508839893007,2778.8262144649916
17-2,68,13923.17582829106,10472.420427832798
17-3,61,2548.482655232733,486.76018714945155
17-4,61,2003.9272930239395,2776.417263996683
17-4,68,14493.970518674916,10744.31498652038
17-5,64,4450.313929188019,1648.1953505536794
17-5,68,4472.3254532958435,3223.3647506934312
17-6,68,8045.185398940008,5253.506065507825
17-7,64,9004.193414843508,1500.616488635555
18-1,68,3949.4983844944595,2590.8709402283644
18-10,61,5768.537770527115,3787.6348098657722
18-10,68,14865.239218141292,5877.185919010955
18-12,64,16647.20999603215,6646.371137160404
18-12,68,4004.4381182728894,13947.978095666638
18-13,68,15797.904279661272,8640.154773122826
18-14,68,4769.350659820168,4769.350659820168
18-15,64,52852.28031258368,26209.489579388024
18-15,68,27084.408866182966,53332.28357202765
18-16,64,32696.226235771763,10316.722441034051
18-17,64,9896.189349368395,32540.834879190745
18-17,68,90834.46438577655,67697.14771600478
18-18,61,2438.1810930383535,335.90411008835986
18-18,64,10075.877162388813,9999.847428715419
18-18,68,29890.041411003207,24768.193188136665
18-19,64,37198.591768840466,34632.09539485347
18-19,68,69564.00367295665,71598.87612959111
18-2,64,41262.86880062335,21333.40280888419
18-2,68,24081.249252389243,43722.68826931741
18-21,64,8021.36991997012,9680.723069207439
18-21,68,20724.029079777138,18901.612357065376
18-22,68,10674.265836343333,7151.377234129826
18-25,64,5571.256511960267,1841.236205704246
18-3,64,3603.153358787708,1142.199614735703
18-4,68,3004.5714235710234,1946.9622824740231
18-5,64,5794.189063186108,10410.92106716496
18-5,68,25990.040569629287,21197.26179226538
18-6,64,9976.488938524071,5744.828458105561
18-6,68,7737.552282289918,11898.310988709447
18-8,64,16003.583716918365,5491.241995538472
18-9,64,31471.564946504146,13749.596944510102
18-9,68,10134.17975289963,27625.57405126807
19-1,64,34835.83381370657,5354.471532375714
19-1,68,59986.98899590053,18230.185470209548
19-10,61,54759.059311905876,35400.37094301248
19-10,68,11028.470403152034,25599.534627074616
19-12,61,33588.16742624947,18078.99596694252
19-13,61,92071.94875567268,71602.09709115207
19-13,64,8098.938528718402,9467.062234828936
19-13,68,32202.95898994906,51304.68694835915
19-14,61,42494.12388559507,23384.37732086808
19-15,61,41149.770322332006,22243.052342134837
19-17,61,5638.933468517435,4405.491589511592
19-17,68,2515.595040258417,3183.735089632055
19-18,61,54011.83774257185,45878.1962005292
19-18,64,15510.782874093806,4734.754159922755
19-18,68,19192.28560592162,22284.918878634155
19-19,61,19852.46645507526,26631.30059111204
19-19,64,17156.40513938842,3224.9652497446764
19-19,68,16478.256597081396,13643.591598604893
19-2,61,40498.94429472903,30880.820580075313
19-2,64,16138.732800073074,3871.2654827792257
19-3,61,82616.48990093204,48717.61761736593
19-3,64,1713.8521326860223,6269.945297420164
19-3,68,4941.294995105963,34284.07411393793
19-4,64,13336.607067298002,4000.2927317558183
19-4,68,2397.2866585666075,9054.868316103004
19-5,61,1201.9815471024451,679.1195741128815
19-6,68,2740.0897349826305,1098.7759837280348
19-7,61,2009.7019090388408,1071.1711175177022
19-8,61,37398.67235880536,103654.20627641781
19-8,68,153213.4715305989,73559.33944755455
19-9,61,43372.96057710764,24254.337827191484
19-9,68,640.7784515888832,17068.282912915416
2-1,61,116023.23669883811,197077.05910916912
2-1,64,435342.24960347265,363892.5011762716
2-1,68,61059.8252015793,51455.7512184493
