country,year,electricity,fiaccount,enrollment,gnipc,agemployment,indemployment,servicesemployment,lfp,lfpfemale,lfpmale,population,urbanpop
ERI,2004,33.44,NA,78.89,NA,62.21,8.81,28.98,NA,71.75,84.15,2763140,30.16
EST,2004,99.98,NA,NA,9646.62,5.06,33.95,60.98,39.68,53.21,65.77,1362550,68.86
SWZ,2004,31.45,NA,NA,2278.18,18.06,24.76,57.18,NA,46.09,59.02,1065764,22.17
ETH,2004,15.19,NA,50.35,NA,77.95,7.19,14.86,NA,73.86,89.59,75301026,15.5
EMU,2004,99.99,NA,97.71,27180.3,4.57,28.4,67.02,43.25,47.34,64.87,327702192,73.89
FJI,2004,80.6,NA,99.15,NA,27.55,20.79,51.66,NA,36.07,79.79,866694,49.48
FIN,2004,100,NA,97.75,35649.84,5.01,26.07,68.92,59.76,56.37,65.1,5228172,82.77
FRA,2004,100,NA,95.79,29652.58,3.87,24.25,71.88,36.7,50.13,62.93,62716306,76.88
GAB,2004,79.16,NA,NA,2794.5,38.74,9.97,51.29,NA,38.93,60.12,1417110,81.78
GMB,2004,34.79,NA,65.77,523.69,53.32,6.14,40.55,NA,48.06,69.28,1612225,51.29
GEO,2004,99.93,NA,94.62,NA,54,8.84,37.16,32.21,56.96,74.22,3927340,53.22
DEU,2004,100,NA,86.24,29373.65,2.36,31.25,66.39,47.46,49.48,64.81,82516260,75.78
GHA,2004,50.82,NA,NA,NA,54.52,14.46,31.02,NA,70.71,75.87,21906444,46.63
GRC,2004,100,NA,96.97,NA,12.37,22.45,65.17,36.21,42.47,64.66,10955141,74.07
GRD,2004,87.19,NA,99.68,NA,NA,NA,NA,NA,NA,NA,109516,35.9
GTM,2004,77.15,NA,90.71,2792.25,36.16,20.17,43.67,55.11,42.08,85.07,12682108,46.62
GIN,2004,20.19,NA,61.85,NA,68.7,5.5,25.81,NA,60.42,66.1,8961039,31.98
GNB,2004,3.9,NA,NA,396.71,60.72,9.85,29.42,NA,48.32,65.94,1347009,37.77
GUY,2004,76.77,NA,NA,NA,21.81,24.9,53.3,NA,35.36,77.94,760424,28.06
HTI,2004,34.05,NA,NA,1230.95,50.29,10.45,39.25,NA,58.09,69.3,8961489,41.68
HND,2004,67.11,NA,90.93,1651.97,34.92,22.38,42.7,NA,41.72,82.57,7383407,47.93
HUN,2004,99.96,NA,95.57,8715.21,5.26,32.95,61.79,27.25,42.07,57.7,10107146,65.9
IND,2004,64.4,NA,NA,755.25,56.76,18.28,24.96,NA,30.2,78.71,1136264583,28.9
IDN,2004,89.01,NA,94.2,-202.62,43.33,18,38.67,50.41,47.17,84.25,225938595,45.15
IRN,2004,98.31,NA,97.76,4432.25,21.11,32.01,46.87,NA,17.63,72,69061674,66.87
IRQ,2004,97.29,NA,93,NA,27.15,20.16,52.69,NA,11.11,74.16,27858948,68.71
IRL,2004,100,NA,99.91,32840.3,6.38,27.6,66.03,48.88,51.99,74.43,4070262,60.2
ISR,2004,100,NA,97.66,22502.45,2.04,21.97,75.99,54.45,54.66,68.44,6809000,91.46
ITA,2004,100,NA,99.39,28190.01,4.14,30.84,65.03,36.71,38.44,61.88,57685327,67.62
JAM,2004,87.24,NA,92.81,NA,18.48,18.27,63.25,39.44,56.48,74.39,2664024,52.63
JPN,2004,100,NA,NA,26069.28,4.49,28.98,66.53,43.98,48.21,73.38,127761000,84.64
JOR,2004,99.17,NA,94.62,NA,4.11,25.81,70.07,NA,11.21,62.49,5532423,78.32
KAZ,2004,99.96,NA,99.68,3218.89,33.5,17.41,49.09,49.49,64.82,75.66,15012984,56.39
KEN,2004,22.64,NA,69.49,852.17,44.08,12.52,43.4,NA,70.72,75.34,34791836,21.31
KIR,2004,62.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,96224,43.53
PRK,2004,NA,NA,NA,NA,50.11,15,34.89,NA,69.38,80.22,23948930,59.73
KOR,2004,100,NA,NA,17417.46,8.31,26.96,64.74,33.15,50.56,75.07,48082519,81
XKX,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1704622,NA
KWT,2004,100,NA,94.4,NA,2.57,20,77.43,NA,45.94,81.59,2153481,100
KGZ,2004,99.35,NA,97.88,748.07,38.91,17.58,43.52,45.42,53.69,74.59,5104700,35.29
LAO,2004,53.5,NA,79.85,760.32,78.54,5.84,15.61,NA,59.09,66.84,5768167,26.24
LVA,2004,99.7,NA,NA,6858.38,13.3,26.94,59.76,36.93,50.74,65.64,2263122,67.9
LBN,2004,99.9,NA,NA,5288.52,4.99,23.53,71.48,30.81,20.33,68.73,4574797,86.49
LSO,2004,6.8,NA,82.2,NA,39.69,27.42,32.89,NA,63.86,77.24,1985384,21.69
LBR,2004,NA,NA,NA,NA,53.17,10.83,36,NA,71.83,82.88,3122447,45.71
LBY,2004,91.81,NA,NA,NA,20.35,21.79,57.86,NA,33.02,61.64,5687563,76.92
